Title,Location,Salary,Job Type1,Job Type2,Job Type3,Job Description
Account Officer,Gujranwala,,,,,"['We are looking for an ', ' to support our Sales team and provide quality customer service.', 'Account Officer responsibilities include preparing sales proposals, updating internal databases with client and contract details, and conducting market research. If you have good communication skills and would like to gain sales and marketing experience, we’d like to meet you. Previous experience in customer service positions is a plus.', 'Ultimately, you’ll help run successful sales campaigns to increase customer engagement.', 'Job Type: Full-time']"
Female Medical rap,Gujranwala,"Rs 36,000 - Rs 48,000 a month",Full-time,Part-time,Temporary,"['Drop your c.v on mentioned below whats app number or call on whats app', 'Required a female medical rap in gujranwala', 'Having a good experience', 'Having good doctor knowledge', 'Having good customers in fingure tips ( atleast 15 to 20 customers in her circle )', 'Having good communication skills .', 'Handsome salary', 'Incentives', 'Bonus', 'Internal promotion and learning', 'And many many more .', 'Only works on female or male doctors .promote our brands in front of doctors .selective customers and doctors . 8 hours working only .', 'Job Types: Full-time, Part-time, Temporary, Contract, Fresher', 'Contract length: 3 months', 'Pay: Rs36,000.00 - Rs48,000.00 per month', 'Expected hours: 50 per week', 'Education:', 'Location:', 'Willingness to travel:']"
Sales Representative (Cold Calling & Emails),Gujranwala,"Rs 15,000 - Rs 50,000 a month",Full-time,Contract,New-Grad,"['Technotz is a leading IT service provider, dedicated to delivering innovative solutions and exceptional service to our clients. We specialize in a range of IT services, including software development, IT consulting, and managed services. We are currently looking to expand our sales team with motivated and skilled Sales Representatives.', 'We are seeking a dynamic and results-driven ', ' to join our team. The ideal candidate will have a strong background in sales, excellent English communication skills, and a solid understanding of IT services. This role involves cold calling and emailing potential clients, making it crucial for candidates to have a persuasive speaking ability and a professional demeanor.', 'Interested candidates are invited to submit their resume and a cover letter outlining their relevant experience and why they are a good fit for this role. Please send your application to ', ' with the subject line ""Sales Representative Application - [Your Name]"".', 'Job Types: Full-time, Contract, Fresher', 'Contract length: 24 months', 'Pay: Rs15,000.00 - Rs50,000.00 per month', 'Education:', 'Language:']"
Daily Soap Writer,Pakistan,,,,,"[""Fans don't just follow the sport, they feel it - the pain, the passion, the guts, and the glory. When we at Sportskeeda look at sports fans we don't see a crowd; we see you. We're one of you, and we strive to keep you on top of every possible sports trend by creating engaging and insightful content at lightning-quick speed."", ""Established in 2009, Sportskeeda is a global sports content platform that covers the world's biggest sports and esports subjects and serves over 100 Million fans every month. Our passionate team comprises top content creators from around the world who produce hundreds of well-researched content pieces on a daily basis."", 'We are a Great Place to Work certified organization, with employees and contributors working from various corners of the globe.', 'This is a remote position.', 'Experience: 1-2 years', 'Nature of Employment: Contract', 'As a daily soap writer, your role involves consistently producing written content that delves into scripted content, writing features, and news pieces regularly. You will be responsible for creating engaging features and news articles focused on popular soap operas such as General Hospital, The Young and the Restless, and The Bold and the Beautiful. It’s essential that you stay dedicated to closely following these soaps, keeping up-to-date with their story lines and controversies. Your ability to provide insightful analysis, capture the drama, and connect with the passionate fan base of these series is crucial for this role.', 'Job Type: Contract']"
Medical Services Executive,Gujranwala,"Rs 70,000 - Rs 80,000 a month",Full-time,,,"['Job Type: Full-time', 'Pay: Rs70,000.00 - Rs80,000.00 per month', 'Education:', 'Experience:']"
"C# Developer, IgniteTech (Remote) - $60,000/year USD",Punjab,,,,,[]
Medical imaging technologist/Radiographer,Gujranwala,"Rs 35,000 - Rs 45,000 a month",Full-time,,,"['We are looking for an experienced MIT/Radiographer.', 'Who has 2 years of experience.', 'Who has expertise in x-ray.', 'Should have degree of BS MIT.', 'Females are encouraged to apply.', 'Job Type: Full-time', 'Pay: Rs35,000.00 - Rs45,000.00 per month']"
"Senior Developer, gt.school (Remote) - $100,000/year USD",Punjab,,,,,[]
Graphic Designer,Gujranwala,"Rs 30,000 a month",Full-time,Internship,New-Grad,"[""We are looking for a creative and talented Graphic Designer Intern to join our team. As a Graphic Designer Intern, you will have the opportunity to work on a variety of projects and gain valuable hands-on experience in graphic design. This internship offers an excellent opportunity to showcase your skills, learn new techniques, and contribute to real projects that impact our brand's visual identity and messaging. For more details, you can visit our website."", 'Job Types: Full-time, Internship, Fresher', 'Contract length: 6 months', 'Pay: From Rs30,000.00 per month']"
"Lead Software Engineer, IgniteTech (Remote) - $100,000/year USD",Punjab,,,,,[]
Cold Storage operator,Gujranwala,"Rs 30,000 - Rs 40,000 a month",Full-time,,,"['responsibilities:', 'A Cold Storage Technician is responsible for handling installation of refrigeration system and components, refrigerant charging and storage of food in the cold storage room by maintaining storage parameters such as temperature and relative humidity in food processing units.', 'Job Type: Full-time', 'Pay: Rs30,000.00 - Rs40,000.00 per month', 'Education:', 'Experience:']"
Branch Manager,Gujranwala,"Rs 40,000 - Rs 70,000 a month",Full-time,,,"['Healthwire is on a mission to use technology to improve healthcare outcomes and impact the lives of millions of Pakistanis. We are seeking a highly organized and detail-oriented individual to join our team as a Pharmacy Operations Manager.', 'Job Type: Full-time', 'Pay: Rs40,000.00 - Rs70,000.00 per month']"
Assistant Manager Compliance,Gujranwala,,,,,"['1. Assist the manager compliance in ensuring the compliance with applicable laws, rules. Regulations and instructions.', '2. Support the compliance manager to develop, coordinate, and participate in orientation, training & development program.', ""3. Ensures the compliance of State Bank's inspection and lnternal Audit reports."", '4. Ensure that regulatory enforcement actions are implemented in the company.', '5. Support the compliance manager to investigate fraud involving customer accounts and recovery of funds.', '6. Ensure sharing information of updates in regulations and compliance procedures to all stakeholders as and when directed by manager compliance.', '7. Consolidate filing of Suspicious Transaction Report to Financial Monitoring Unit.', '8. Consolidate filing of Currency Transaction Reports (CTRs) to relevant authority.', 'Job Type: Full-time']"
Procurement Officer,Gujranwala,"Rs 30,000 - Rs 60,000 a month",Full-time,,,"['Procurement Officer', 'Source and evaluate potential suppliers/vendors based on factors such as price, quality, reliability, and delivery speed.', 'Negotiate with suppliers and forwarder agents for cost savings as much as possible.', ""Coordinate with the sales team to find and fulfill our clients' demands."", 'Keep follow-up of orders effectively and update the inventory accordingly.', 'Qualifications & Requirement:', 'Gender: Male', ""Master or Bachelor's degree in business administration, supply chain management, or a related field."", 'Must have Negotiation Skills, Good in English and business communication, Should be good in MS Office', 'Location: Bhutta Center Gujranwala', 'Usman Group Of Companies', 'Contact: 0305-5010507 ; 03211113994', 'Job Type: Full-time', 'Pay: Rs30,000.00 - Rs60,000.00 per month', 'Ability to Commute:']"
Pharmacy Branch Manager,Gujranwala,"Rs 45,000 - Rs 60,000 a month",Full-time,,,"['Healthwire is on a mission to use technology to improve healthcare outcomes and impact the lives of millions of Pakistanis. We are looking for an enthusiastic and competent Branch Manager to join us in our hyper-growth trajectory. The ideal candidate should have experience in all areas related to the human resources field.', 'Key Responsibilities:', 'Lead and inspire a team of pharmacy staff, including pharmacists and pharmacy assistants, to deliver outstanding customer service and achieve sales goals.', 'Ensure the branch operates in compliance with all regulatory requirements and company policies and procedures.', 'Oversee inventory management, stock control, and ordering of pharmaceutical products to maintain adequate stock levels and minimize stockouts.', 'Monitor prescription dispensing and ensure accuracy, adhering to legal and ethical standards.', 'Address and resolve customer inquiries, complaints, or concerns promptly and professionally.', 'Analyze sales and market trends, identifying opportunities for business expansion and improvement.', 'Collaborate with the marketing team to plan and execute promotional campaigns, loyalty programs, and community engagement initiatives.', 'Qualifications and Experience:', ""Bachelor's degree in Pharmacy or a related field. A PharmD qualification is preferred."", 'Proven experience in a managerial role within the pharmaceutical or retail industry.', 'Ability to handle multiple tasks and work well under pressure.', 'Job Type: Full-time', 'Salary: Rs45,000.00 - Rs50,000.00 per month', 'Ability to commute/relocate:', 'Job Type: Full-time', 'Pay: Rs45,000.00 - Rs60,000.00 per month', 'Ability to commute/relocate:']"
Pharmacy Branch Manager (For Only Pharmacy Experience People),Gujranwala,"Rs 45,000 - Rs 70,000 a month",Full-time,,,"['Healthwire is on a mission to use technology to improve healthcare outcomes and impact the lives of millions of Pakistanis. We are looking for an enthusiastic and competent ', ' to join us in our hyper-growth trajectory. The ideal candidate should have experience in all areas related to the human resources field.', 'Key Responsibilities:', 'Lead and inspire a team of pharmacy staff, including pharmacists and pharmacy assistants, to deliver outstanding customer service and achieve sales goals.', 'Ensure the branch operates in compliance with all regulatory requirements and company policies and procedures.', 'Oversee inventory management, stock control, and ordering of pharmaceutical products to maintain adequate stock levels and minimize stockouts.', 'Monitor prescription dispensing and ensure accuracy, adhering to legal and ethical standards.', 'Address and resolve customer inquiries, complaints, or concerns promptly and professionally.', 'Analyze sales and market trends, identifying opportunities for business expansion and improvement.', 'Collaborate with the marketing team to plan and execute promotional campaigns, loyalty programs, and community engagement initiatives.', 'Qualifications and Experience:', ""Bachelor's degree in Pharmacy or a related field. A PharmD qualification is preferred."", 'Proven experience in a managerial role within the pharmaceutical or retail industry.', 'Ability to handle multiple tasks and work well under pressure.', 'Job Type: Full-time', 'Pay: Rs45,000.00 - Rs70,000.00 per month', 'Ability to commute/relocate:', 'Application Deadline: 10/06/2024']"
React.js Developer Required,Gujranwala,"Rs 30,000 - Rs 50,000 a month",Full-time,,,"['We are looking for a talented ', ' to join us at ', '. The ideal candidate should have a minimum of 1 year of experience working with React.js.', '✤ Develop, maintain, and enhance web applications using React.js', '✤ Build reusable components and front-end libraries for future use', '✤ Collaborate with designers and backend developers to implement user-friendly interfaces', '✤ Participate in code review and testing', '✤ Stay up-to-date with the latest developments in React.js', '✦ On-Site', '✦ At least 1 year of experience in React.js development', '✦ Strong understanding of React.js and its core principles', ""We offer a competitive salary package ranging from 30k to 50k depending on the candidate's skills and experience."", 'Interested? Send your resume to ', ' or Whatsapp me at ', '. Looking forward to your response!', 'Address: Jinnah Road, Near Madina Colony, Opposite Muhammad Hospital, Gujranwala.', 'Job Type: Full-time', 'Pay: Rs30,000.00 - Rs50,000.00 per month']"
Jr HR officer,Gujranwala,,,,,['Job Type: Full-time']
Senior Amazon PPC Manager (for USA Marketing),Pakistan,,,,,"[""Bachelor's degree in Marketing, Business, or a related field.Years of experience in Amazon PPC advertising.Proficiency in Amazon Advertising Console and other relevant PPC tools.Strong data analysis skills and the ability to translate insights into actionable strategies.Exceptional knowledge of PPC best practices, algorithms, and strategies.Excellent communication and collaboration skills."", 'Amazon Advertising certification.Experience in managing PPC campaigns in e-commerce or related industries.Familiarity with Amazon SEO and product listings.Knowledge of third-party PPC management tools.', 'Job Type: Full-time', 'Pay: Rs154,999.00 - Rs251,499.00 per month', 'Application Question(s):']"
Pharmacy Operations Manager,Gujranwala,"Rs 70,000 - Rs 80,000 a month",Full-time,,,"['Healthwire is on a mission to use technology to improve healthcare outcomes and impact the lives of 220+ millions of Pakistanis. We are seeking an experienced and result-oriented ', ' responsible for managing and optimizing the operations of our pharmacies.', 'Proven experience in pharmacy operations.', 'Strong understanding of the pharmaceutical industry, including regulations, best practices, and market trends.', 'Excellent analytical and financial management skills to drive revenue optimization and cost reduction.', 'Demonstrated ability to develop and implement policies and procedures.', 'Strong leadership and team management abilities.', 'Excellent communication and presentation skills, with the ability to effectively convey complex information in a clear and compelling manner.', 'Job Type: Full-time', 'Pay: Rs70,000.00 - Rs80,000.00 per month']"
IT Sales Manager,Gujranwala,"Rs 25,000 - Rs 45,000 a month",Full-time,Contract,,"['IT Sales Managers will be responsible for managing technical sales within companies. He will coordinate sales activities and plan strategies for new customer acquisition.', 'Sales manager will also responsible for leading, develop the team of sales and provide the relevant training and mentoring for the team.', 'The role often requires traveling to customer locations, understanding the client’s needs and providing applicable solutions.', 'Technical sales manager will need to understand technical complex challenges and have experience in the industry the company operates.', 'Responsibilities:', 'Requirements:', 'Job Types: Full-time, Contract', 'Pay: Rs25,000.00 - Rs45,000.00 per month', 'Application Question(s):', 'Education:', 'Experience:']"
Territory Executive Gujranwala,Gujranwala,,,,,[]
Marketing Executive,Gujranwala,"Rs 20,000 - Rs 35,000 a month",Full-time,,,"['Job Type: Full-time', 'Pay: Rs20,000.00 - Rs35,000.00 per month', 'Application Question(s):', 'Education:']"
Car Field Sales Executive - Gujranwala,Gujranwala,,,,,[]
SME Executive,Gujranwala,"Rs 52,000 - Rs 120,000 a month",Full-time,Contract,,"['Perform daily visits in assigned territory to generate SME leads', 'Follow up on leads for conversion to sales.', 'Meet monthly targets of B2B product/sale', 'Attend meeting and trainings to keep abreast of the latest developments', 'Basic Connectivity & Rack Products.', 'Perform daily visits in assigned territory to generate SME leads', 'Follow up on leads for conversion to sales', 'Meet monthly targets of B2B product/sale', 'Attend meeting and trainings to keep abreast of the latest developments', 'Basic Connectivity & Rack Products', 'Meet B2B sale targets by using various sale methods (door-to-door, cold calling, presentations etc.)', 'Evaluate customer needs and build productive long-lasting relationships', 'Expand client database within assigned territory', 'Follow up on leads for conversion to sales', 'Meet monthly B2B revenue targets', 'Attend meeting and trainings to keep abreast of the latest developments', 'T1 Portfolio +Business Connectivity & Basic Solution', 'Job Types: Full-time, Contract', 'Contract length: 09 months', 'Pay: Rs52,000.00 - Rs120,000.00 per month', 'Education:', 'Experience:', 'Location:']"
Sales intern,Gujranwala,"Rs 15,000 a month",Full-time,,,"['We are seeking a motivated Sales Intern to join our dynamic team and assist in expanding our customer base. The Sales Intern will work closely with our sales team to identify potential clients, generate leads, and support sales initiatives. This internship offers valuable hands-on experience in the renewable energy industry and provides an opportunity to contribute to meaningful environmental goals.', 'Job Type: Full-time', 'Pay: From Rs15,000.00 per month']"
Pharmacy Operations Manager,Gujranwala,"Rs 45,000 - Rs 60,000 a month",Full-time,,,"['Healthwire is on a mission to use technology to improve healthcare outcomes and impact the lives of millions of Pakistanis. We are looking for an enthusiastic and competent Branch Manager to join us in our hyper-growth trajectory. The ideal candidate should have experience in all areas related to the human resources field.', 'Key Responsibilities:', 'Lead and inspire a team of pharmacy staff, including pharmacists and pharmacy assistants, to deliver outstanding customer service and achieve sales goals.', 'Ensure the branch operates in compliance with all regulatory requirements and company policies and procedures.', 'Oversee inventory management, stock control, and ordering of pharmaceutical products to maintain adequate stock levels and minimize stockouts.', 'Monitor prescription dispensing and ensure accuracy, adhering to legal and ethical standards.', 'Address and resolve customer inquiries, complaints, or concerns promptly and professionally.', 'Analyze sales and market trends, identifying opportunities for business expansion and improvement.', 'Collaborate with the marketing team to plan and execute promotional campaigns, loyalty programs, and community engagement initiatives.', 'Qualifications and Experience:', ""Bachelor's degree in Pharmacy or a related field. A PharmD qualification is preferred."", 'Proven experience in a managerial role within the pharmaceutical or retail industry.', 'Ability to handle multiple tasks and work well under pressure.', 'Job Type: Full-time', 'Pay: Rs45,000.00 - Rs60,000.00 per month', 'Ability to commute/relocate:']"
Pharmacy Branch Manager,Gujranwala,"Rs 45,000 - Rs 60,000 a month",Full-time,,,"['Healthwire is on a mission to use technology to improve healthcare outcomes and impact the lives of millions of Pakistanis. We are looking for an enthusiastic and competent Branch Manager to join us in our hyper-growth trajectory. The ideal candidate should have experience in all areas related to the human resources field.', 'Key Responsibilities:', 'Lead and inspire a team of pharmacy staff, including pharmacists and pharmacy assistants, to deliver outstanding customer service and achieve sales goals.', 'Ensure the branch operates in compliance with all regulatory requirements and company policies and procedures.', 'Oversee inventory management, stock control, and ordering of pharmaceutical products to maintain adequate stock levels and minimize stockouts.', 'Monitor prescription dispensing and ensure accuracy, adhering to legal and ethical standards.', 'Address and resolve customer inquiries, complaints, or concerns promptly and professionally.', 'Analyze sales and market trends, identifying opportunities for business expansion and improvement.', 'Collaborate with the marketing team to plan and execute promotional campaigns, loyalty programs, and community engagement initiatives.', 'Qualifications and Experience:', ""Bachelor's degree in Pharmacy or a related field. A PharmD qualification is preferred."", 'Proven experience in a managerial role within the pharmaceutical or retail industry.', 'Ability to handle multiple tasks and work well under pressure.', 'Job Type: Full-time', 'Pay: Rs45,000.00 - Rs60,000.00 per month', 'Ability to commute/relocate:']"
SME Sale Executive,Gujranwala,"Rs 50,000 - Rs 60,000 a month",Full-time,,,"['· B2B Sales Services - Providing comprehensive sales services to B2B clients, including market research, lead generation, account management, and sales support.', '· Meet B2B revenue targets & B2B sales volume targets. Service Provider can use various sales methods, such as door-to-door, cold calling, and presentations. Record & provide an evaluation of the effectiveness of each method used.', '· Analyze the target segment to identify potential B2B customers, prepare a monthly visit plan/schedule against potential B2B customers of a target segment, prepare proposals & presentations for the target segment.', '· Evaluate the customer needs, propose potential solutions according to the need, and build productive, long-lasting relationships to expand the client database within the assigned territory.', '· Conduct daily visits in designated territory to identify potential SME leads.', '· Follow up on leads to increase sales conversion rates.', '· Ensure retention of existing clients through effective after sale services', '· Evaluate customer needs, develop proposals, and prepare business case for approvals of customized products/solutions.', '· Ensure timely and accurate feasibility, provisioning of services, service delivery and billing to ensure customer satisfaction.', 'Bachelor’s Degree to be preferred', 'Meet B2B sale targets by using various sale methods (door-to-door, cold calling, presentations etc.)', 'Evaluate customer needs and build productive long-lasting relationships', 'Expand client database within assigned territory', 'Meet sale/revenue targets', 'Follow up on leads for conversion to sales', 'Attend meeting and trainings to keep abreast of the latest developments', 'Minimum Bachelor’s Degree', '(Previous experience preferred)', 'Identify and approach potential customers for sale of ICT products, solutions, and services. e.g. Managed WiFi, Managed SDWAN, Managed Surveillance, Cyber Security, Cloud, SaaS/PaaS and MS Licensees', 'Understand and analyze client’s business processes to advise on how they can improve business efficiency and cut costs to allow them to focus on their core business', 'Follow up on in-house leads from website, referrals, and marketing campaigns', 'Prospect for new business via networking, events, partnering, cold calling etc.', ""Successfully understand and address client's technology and business concerns during the sales process"", 'Create proposals, meet with prospects, and follow up to close deals, build a robust pipeline of qualified opportunities.', 'Minimum Bachelor’s degree', '(Technical degree & previous experience preferred)', ""Successfully understand and address client's technology and business concerns. Evaluate needs, map against available portfolio, design & propose solution"", 'Develop proposals, respond on queries, manage, and develop business opportunities from sale leads generated through alternate channels', 'Liaison with technical, regulatory, PMO and other backend teams for necessary approvals, feasibility, provisioning & service delivery to ensure customer satisfaction', 'Ensure correct billing & revenue realization as per IFRS standards & company policies', 'Prepare & vet business cases on sales behalf for management approvals', 'Ensure prioritized MTTR. MTTP and post-sale support for high potential clients', 'Job Type: Full-time', 'Pay: Rs50,000.00 - Rs60,000.00 per month', 'Education:', 'Experience:']"
Key Account Executive,Gujranwala,"Rs 120,000 - Rs 125,000 a month",Full-time,,,"['Job Type: Full-time', 'Pay: Rs120,000.00 - Rs125,000.00 per month', 'Education:', 'Experience:', 'Ability to Commute:', 'Ability to Relocate:']"
Field Sales Representative,Gujranwala,"Rs 32,000 - Rs 40,000 a month",Full-time,,,"['https://shemeanswork.com/#/job-detail/1164', 'On-Site Sales: Visit potential customer locations, such as construction sites, home renovation projects, and paint stores, to promote and sell our paint products. Product Knowledge: Develop a deep understanding of our paint product range, features, benefits, and applications to effectively educate and assist customers. Relationship Building: Establish and maintain strong relationships with contractors, painters, and retail partners to drive sales and brand loyalty. Customer Support: Provide on-site guidance and support to customers in selecting the right paint products and addressing their specific needs and concerns. Inventory Management: Monitor on-site inventory, manage stock levels, and coordinate replenishment with the logistics team to ensure product availability. Reporting and Feedback: Collect and provide valuable market insights, customer feedback, and sales data to improve our product offerings and strategies. Safety and Compliance: Adhere to safety protocols and guidelines', 'As a Direct-to-Consumer Marketing Officer your role will be able to strategize, execute, and optimize marketing campaigns to connect our products directly with consumers, driving brand awareness and growth.', 'SKILLS PREFERRED Proven experience in direct sales, preferably in the paint or construction industry. Knowledge of paint products, application techniques, and industry Trends, Strong interpersonal and communication skills, with the ability to build and maintain relationships. Ability to work independently, manage time efficiently, and adapt to changing customer needs. Willingness to travel to customer locations and worksites as required. Results-driven and customer-centric mindset Requirements Qualification: FA / BA Experience: 1-2 Years of sales experience What they are Offering: Salary: PKR 32,000/- BASIC + PKR 30,000/- TO PKR 40,000/- INCENTIVE & SALES COMMISSION. Medical, Paid Leaves, Provident Fund & Fuel on Company Card Ongoing training and career development opportunities. Supportive and collaborative team environment. Chance to contribute to the growth and success of a dynamic company. Opportunities for professional development and career growth.', 'Transport, Travel Allowance, Paid Leave, Incentive Bonus, Paid Sick', 'Leave Education FA/BA', 'Experience 1-2 year', 'Offered Salary 32000/ 40000', 'Job Type: Full-time', 'Pay: Rs32,000.00 - Rs40,000.00 per month']"
B.com(Fresh),Gujranwala,"Rs 15,000 - Rs 25,000 a month",Full-time,Internship,,"['The following are some of the main accountabilities for which the person in this position is responsible.', 'Job Types: Full-time, Internship', 'Contract length: 3 months', 'Pay: Rs15,000.00 - Rs25,000.00 per month', 'Application Question(s):', 'Education:']"
Application Officer( Pashto Speaking),Gujranwala,"Rs 30,000 - Rs 35,000 a month",Full-time,,,"['UKEC, the United Kingdom Education Centre, is seeking a detail-oriented and efficient Data Entry Specialist to join our team as an Application Officer. As a Data Entry Specialist, you will play a crucial role in applying, managing and maintaining data related to student applications, inquiries, and administrative records. This position requires meticulous attention to detail and a commitment to accuracy.', '1. Data Entry and Management:', '2. Documentation and Record Keeping:', '3. Quality Assurance:', '4. Data Reporting:', '5. Administrative Support:', 'Job Type: Full-time', 'Pay: Rs30,000.00 - Rs35,000.00 per month', 'Ability to commute/relocate:']"
"Lead Software Engineer, Totogi (Remote) - $60,000/year USD",Pakistan,,,,,[]
B.com (Female),Gujranwala,,,,,"[' Accountant', ' Gujranwala', 'Under the general directions the accountant will maintain and analyze accounting records and financial reports. The accountant will also compile and maintain accounts payable records.', 'BBA(Hons) Finance, B.Com or other relevant degree', 'Excellent verbal and written skills.', 'Knowledge and ability to use different types of office equipment and computer software to meet the performance requirements of the job.', 'Microsoft Office (Word, Excel, and Outlook), and computer skills.', 'Classifies, records, and summarizes numerical and financial data to compile and keep financial records, using journal, ledgers, and computers.', 'Debits, credits, and totals accounts.', 'Checks and approves all vouchers for payment.', 'Reviews and verifies accounting records and transactions for accuracy, and reports discrepancies found in records.', 'Prepares and submits financial reports as required and reviews for accuracy prior to distribution.', 'Prepares invoice deduction notices as necessary.', 'Compiles reports to show statistics such as cash receipts and expenditures, accounts payable and receivable, profit and loss, and other items pertinent to operation of business.', 'Prepares daily cash deposits and processes daily credit card deposits.', 'Performs other duties as requested.', 'Job Type: Full-time']"
"Senior Software Engineer, Totogi (Remote) - $60,000/year USD",Punjab,,,,,[]
Electrical Engineer,Gujranwala,"Rs 20,000 - Rs 40,000 a month",Full-time,Internship,Contract,"['Job Types: Full-time, Contract, Internship', 'Contract length: 3 months', 'Pay: Rs20,000.00 - Rs40,000.00 per month', 'Education:']"
Application Engineer,Gujranwala,"Rs 15,000 - Rs 35,000 a month",Full-time,Internship,,"['Company is looking for a candidate who possesses a solid understanding of specialization area plus working knowledge of one other related area. Resolves issues in creative ways. Exercises independent judgment in selecting methods and techniques to obtain solutions. Executes projects from start to completion. Contributes to moderately complex aspects of a project. Determines and develops recommendations to solutions. Works on team-driven or task-oriented projects. May guide more junior peers with aspects of their job. Networks with senior internal and external personnel in own area of expertise.', 'The following are some of the main accountabilities for which the person in this position is responsible.', 'Qualification:', 'Experience:', 'Salary:', 'Location:', 'Job Types: Full-time, Internship', 'Contract length: 3 months', 'Pay: Rs15,000.00 - Rs35,000.00 per month', 'Application Question(s):', 'Education:', 'Experience:']"
Car Technician - Gujranwala,Gujranwala,,,,,[]
React Native Developer Required,Gujranwala,"Rs 30,000 - Rs 50,000 a month",Full-time,,,"['We are looking for a talented React Native Developer to join us at Hixol. The ideal candidate should have a minimum of 1 year of experience working with React Native.', '✤ Develop, maintain, and enhance mobile applications using React Native', '✤ Write clean, efficient, and maintainable code', '✤ Collaborate with the team to identify and resolve bugs and issues', '✤ Participate in code review and testing', '✤ Stay up-to-date with the latest developments in React Native', '✦ On-Site', '✦ At least 1 year of experience in React Native development', ""We offer a competitive salary package ranging from 30k to 50k depending on the candidate's skills and experience."", 'Interested? Send your resume to hammad@hixol.com or Whatsapp me at 03470204083. Looking forward to your response!', 'Address: Jinnah Road, Near Madina Colony, Opposite Muhammad Hospital, Gujranwala.', 'Job Type: Full-time', 'Pay: Rs30,000.00 - Rs50,000.00 per month']"
Procurement Manager,Gujranwala,"Rs 100,000 - Rs 130,000 a month",Full-time,,,"['Job Type: Full-time', 'Pay: Rs100,000.00 - Rs130,000.00 per month', 'Education:', 'Experience:', 'Application Deadline: 31/05/2024']"
DAE Electrical,Gujranwala,"Rs 15,000 - Rs 25,000 a month",Full-time,,,"['Job Type: Full-time', 'Pay: Rs15,000.00 - Rs25,000.00 per month']"
Rider,Gujranwala,"Rs 32,000 - Rs 35,000 a month",Full-time,,,"['Job Type: Full-time', 'Pay: Rs32,000.00 - Rs35,000.00 per month', 'Education:']"
Mid-Senior React Native Developer,Gujranwala,,Part-time,Contract,,"['We are seeking an experienced and passionate Mid-Senior React Native Developer to join our dynamic development team. In this role, you will be responsible for leading the development of high-quality mobile applications using React Native. The ideal candidate should have a strong background in React Native Development, a deep understanding of mobile development best practices, and a proven track record of delivering exceptional user experiences.', '**', ':**', '1. Lead the end-to-end development of React Native applications, from concept to delivery.', '2. Collaborate with cross-functional teams, including designers and product managers, to define and implement new features.', '3. Architect and implement robust, scalable, and maintainable code.', '4. Mentor and provide guidance to junior developers on best practices and development techniques.', '5. Stay up-to-date with the latest trends and advancements in React Native and mobile development.', '6. Conduct code reviews to ensure code quality and adherence to coding standards.', '7. Troubleshoot and debug issues, ensuring optimal performance and user experience.', '**', ':**', ""1. Bachelor's degree in Computer Science, Engineering, or a related field."", '2. 3+ years of professional experience in React Native development.', '3. Strong proficiency in JavaScript, TypeScript, Redux, Hooks, state management, RESTFUL APIs, Twilio, Agora, Google Map, and React Native (Expo, CLI).', '4. Experience with native module development and integration.', '5. Proven track record of delivering successful mobile applications to the App Store and Google Play.', '6. Solid understanding of mobile development best practices and performance optimization techniques.', '7. Excellent problem-solving and debugging skills.', '8. Strong communication and collaboration skills.', '**', ':**', '- Competitive salary', '- Flexible work hours', '- Professional development opportunities to grow with Technotz.', '**', ':**', 'Interested candidates are encouraged to submit their resume and portfolio (must). Please include a cover letter highlighting your relevant experience and explaining why you are the ideal candidate for this position.', 'Technotz is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.', 'Job Types: Full-time, Part-time, Contract', 'Contract length: 6 months', 'Pay: Rs80,000.00 - Rs150,000.00 per month', 'Expected hours: 30 – 50 per week', 'Experience:']"
PHP Laravel Developer Required,Gujranwala,"Rs 30,000 - Rs 50,000 a month",Full-time,,,"['We are looking for a talented ', ' to join us at ', '. The ideal candidate should have at least 1-2 years of experience working with PHP Laravel.', 'Responsibilities:', '✤Develop, maintain, and enhance web applications using PHP Laravel', '✤Write clean, efficient, and maintainable code', '✤Collaborate with the team to identify and resolve bugs and issues', '✤Participate in code review and testing', '✤Stay up-to-date with the latest developments in PHP Laravel', 'Requirements:', '✦ ', '✦ ', '✦ Proficiency in PHP, HTML, CSS, JavaScript and MySQL', '✦ Experience with Git and version control', '✦ Good communication skills', 'Salary Package:', ""We offer a competitive salary package ranging from 30k to 50k depending on the candidate's skills and experience."", 'Interested? Send your resume to ', 'or Whatsapp me at ', '. Looking forward to your response!', 'Address: Jinnah Road, Near Madina Colony, Opposite Muhammad Hospital, Gujranwala.', 'Job Type: Full-time', 'Pay: Rs30,000.00 - Rs50,000.00 per month']"
